"Code","Description"
"U0000","ISO/SAE Reserved"
"U0001","High Speed CAN Communication Bus"
"U0002","High Speed CAN Communication Bus Performance"
"U0003","High Speed CAN Communication Bus (+) Open"
"U0004","High Speed CAN Communication Bus (+) Low"
"U0005","High Speed CAN Communication Bus (+) High"
"U0006","High Speed CAN Communication Bus (-) Open"
"U0007","High Speed CAN Communication Bus (-) Low"
"U0008","High Speed CAN Communication Bus (-) High"
"U0009","High Speed CAN Communication Bus (-) shorted to Bus (+)"
"U000A","ISO/SAE Reserved"
"U000B","ISO/SAE Reserved"
"U000C","ISO/SAE Reserved"
"U000D","ISO/SAE Reserved"
"U000E","ISO/SAE Reserved"
"U000F","ISO/SAE Reserved"
"U0010","Medium Speed CAN Communication Bus"
"U0011","Medium Speed CAN Communication Bus Performance"
"U0012","Medium Speed CAN Communication Bus (+) Open"
"U0013","Medium Speed CAN Communication Bus (+) Low"
"U0014","Medium Speed CAN Communication Bus (+) High"
"U0015","Medium Speed CAN Communication Bus (-) Open"
"U0016","Medium Speed CAN Communication Bus (-) Low"
"U0017","Medium Speed CAN Communication Bus (-) High"
"U0018","Medium Speed CAN Communication Bus (-) shorted to Bus (+)"
"U0019","Low Speed CAN Communication Bus"
"U001A","ISO/SAE Reserved"
"U001B","ISO/SAE Reserved"
"U001C","ISO/SAE Reserved"
"U001D","ISO/SAE Reserved"
"U001E","ISO/SAE Reserved"
"U001F","ISO/SAE Reserved"
"U0020","Low Speed CAN Communication Bus Performance"
"U0021","Low Speed CAN Communication Bus (+) Open"
"U0022","Low Speed CAN Communication Bus (+) Low"
"U0023","Low Speed CAN Communication Bus (+) High"
"U0024","Low Speed CAN Communication Bus (-) Open"
"U0025","Low Speed CAN Communication Bus (-) Low"
"U0026","Low Speed CAN Communication Bus (-) High"
"U0027","Low Speed CAN Communication Bus (-) shorted to Bus (+)"
"U0028","Vehicle Communication Bus A"
"U0029","Vehicle Communication Bus A Performance"
"U002A","ISO/SAE Reserved"
"U002B","ISO/SAE Reserved"
"U002C","ISO/SAE Reserved"
"U002D","ISO/SAE Reserved"
"U002E","ISO/SAE Reserved"
"U002F","ISO/SAE Reserved"
"U0030","Vehicle Communication Bus A (+) Open"
"U0031","Vehicle Communication Bus A (+) Low"
"U0032","Vehicle Communication Bus A (+) High"
"U0033","Vehicle Communication Bus A (-) Open"
"U0034","Vehicle Communication Bus A (-) Low"
"U0035","Vehicle Communication Bus A (-) High"
"U0036","Vehicle Communication Bus A (-) shorted to Bus A (+)"
"U0037","Vehicle Communication Bus B"
"U0038","Vehicle Communication Bus B Performance"
"U0039","Vehicle Communication Bus B (+) Open"
"U003A","ISO/SAE Reserved"
"U003B","ISO/SAE Reserved"
"U003C","ISO/SAE Reserved"
"U003D","ISO/SAE Reserved"
"U003E","ISO/SAE Reserved"
"U003F","ISO/SAE Reserved"
"U0040","Vehicle Communication Bus B (+) Low"
"U0041","Vehicle Communication Bus B (+) High"
"U0042","Vehicle Communication Bus B (-) Open"
"U0043","Vehicle Communication Bus B (-) Low"
"U0044","Vehicle Communication Bus B (-) High"
"U0045","Vehicle Communication Bus B (-) shorted to Bus B (+)"
"U0046","Vehicle Communication Bus C"
"U0047","Vehicle Communication Bus C Performance"
"U0048","Vehicle Communication Bus C (+) Open"
"U0049","Vehicle Communication Bus C (+) Low"
"U004A","ISO/SAE Reserved"
"U004B","ISO/SAE Reserved"
"U004C","ISO/SAE Reserved"
"U004D","ISO/SAE Reserved"
"U004E","ISO/SAE Reserved"
"U004F","ISO/SAE Reserved"
"U0050","Vehicle Communication Bus C (+) High"
"U0051","Vehicle Communication Bus C (-) Open"
"U0052","Vehicle Communication Bus C (-) Low"
"U0053","Vehicle Communication Bus C (-) High"
"U0054","Vehicle Communication Bus C (-) shorted to Bus C (+)"
"U0055","Vehicle Communication Bus D"
"U0056","Vehicle Communication Bus D Performance"
"U0057","Vehicle Communication Bus D (+) Open"
"U0058","Vehicle Communication Bus D (+) Low"
"U0059","Vehicle Communication Bus D (+) High"
"U005A","ISO/SAE Reserved"
"U005B","ISO/SAE Reserved"
"U005C","ISO/SAE Reserved"
"U005D","ISO/SAE Reserved"
"U005E","ISO/SAE Reserved"
"U005F","ISO/SAE Reserved"
"U0060","Vehicle Communication Bus D (-) Open"
"U0061","Vehicle Communication Bus D (-) Low"
"U0062","Vehicle Communication Bus D (-) High"
"U0063","Vehicle Communication Bus D (-) shorted to Bus D (+)"
"U0064","Vehicle Communication Bus E"
"U0065","Vehicle Communication Bus E Performance"
"U0066","Vehicle Communication Bus E (+) Open"
"U0067","Vehicle Communication Bus E (+) Low"
"U0068","Vehicle Communication Bus E (+) High"
"U0069","Vehicle Communication Bus E (-) Open"
"U006A","ISO/SAE Reserved"
"U006B","ISO/SAE Reserved"
"U006C","ISO/SAE Reserved"
"U006D","ISO/SAE Reserved"
"U006E","ISO/SAE Reserved"
"U006F","ISO/SAE Reserved"
"U0070","Vehicle Communication Bus E (-) Low"
"U0071","Vehicle Communication Bus E (-) High"
"U0072","Vehicle Communication Bus E (-) shorted to Bus E (+)"
"U0073","Control Module Communication Bus A Off"
"U0074","Control Module Communication Bus B Off"
"U0100","Lost Communication With ECM/PCM ""A"""
"U0101","Lost Communication with TCM"
"U0102","Lost Communication with Transfer Case Control Module"
"U0103","Lost Communication With Gear Shift Module"
"U0104","Lost Communication With Cruise Control Module"
"U0105","Lost Communication With Fuel Injector Control Module"
